trial_number,pareto,multi_client_minimum_ratio,multi_client_maximum_ratio,min_filling_ratio,total_runtime_s,final_pallets,n_multi,n_mono,multi_client_ratio,mono_iters,mono_improvements,mono_stagnation,mono_stag_pct,mono_elapsed_s,mono_pal_delta,multi_iters,multi_improvements,multi_stagnation,multi_stag_pct,multi_elapsed_s,multi_pal_delta,pp_fill_improvements,pp_fill_stagnation,pp_fill_elapsed_s,pp_p2_improvements,pp_p2_stagnation,pp_p2_elapsed_s
0,1,0.0987,0.3368,0.4562,982.5,3801,906,2895,0.2384,138181,1134,123437,89.3,561.9,206,13321,49,12800,96.1,323.0,50,0,0,0,0,0,0
1,0,0.1457,0.1932,0.2546,885.5,3921,632,3289,0.1612,138148,1133,123438,89.4,606.2,206,9729,38,9366,96.3,196.3,38,0,0,0,0,0,0
2,1,0.0322,0.2501,0.4104,923.3,3871,681,3190,0.1759,138055,1134,123311,89.3,606.8,206,10697,49,10143,94.8,234.1,49,0,0,0,0,0,0
3,0,0.1687,0.1836,0.5395,937.2,3865,782,3083,0.2023,138061,1134,123317,89.3,595.2,206,12484,43,12087,96.8,253.3,43,0,0,0,0,0,0
4,0,0.1948,0.2558,0.2636,945.6,3850,803,3047,0.2086,138110,1134,123366,89.3,587.5,206,11818,43,11346,96.0,268.6,43,0,0,0,0,0,0
5,1,0.0585,0.1415,0.3837,864.9,3951,567,3384,0.1435,138145,1133,123435,89.4,613.0,206,9304,31,9081,97.6,171.1,31,0,0,0,0,0,0
6,0,0.1107,0.1906,0.4141,916.2,3881,685,3196,0.1765,138095,1134,123351,89.3,607.1,206,10852,39,10465,96.4,222.5,39,0,0,0,0,0,0
7,1,0.0493,0.1294,0.3282,819.1,4027,447,3580,0.111,138067,1134,123323,89.3,619.9,206,7674,33,7475,97.4,128.3,33,0,0,0,0,0,0
8,1,0.1158,0.3142,0.2699,807.3,3991,524,3467,0.1313,138181,1134,123437,89.3,588.4,206,8414,27,8291,98.5,150.8,27,0,0,0,0,0,0
9,0,0.128,0.2802,0.2163,829.2,3962,567,3395,0.1431,138186,1134,123442,89.3,584.6,206,8764,29,8563,97.7,168.7,29,0,0,0,0,0,0
10,0,0.1476,0.1985,0.2228,846.0,3922,632,3290,0.1611,138195,1134,123451,89.3,574.6,206,9724,38,9251,95.1,192.1,38,0,0,0,0,0,0
11,1,0.2193,0.461,0.4829,970.6,3766,1074,2692,0.2852,138232,1134,123488,89.3,477.3,206,15438,54,14750,95.5,391.1,55,0,0,0,0,0,0
12,0,0.084,0.1174,0.4395,803.7,3991,533,3458,0.1336,138191,1134,123447,89.3,585.1,206,9163,26,9026,98.5,152.4,26,0,0,0,0,0,0
13,0,0.1124,0.1517,0.3733,827.3,3944,577,3367,0.1463,138190,1134,123446,89.3,579.7,206,9724,33,9405,96.7,173.4,33,0,0,0,0,0,0
14,1,0.0272,0.2555,0.2906,754.8,4073,387,3686,0.095,138182,1134,123438,89.3,586.2,206,6895,42,6609,95.9,110.2,42,0,0,0,0,0,0
15,0,0.1591,0.2439,0.382,863.4,3874,696,3178,0.1797,138227,1134,123483,89.3,566.6,206,10945,35,10443,95.4,218.4,35,0,0,0,0,0,0
16,0,0.1348,0.1892,0.5394,899.5,3856,798,3058,0.207,138223,1134,123479,89.3,553.5,206,12782,42,12335,96.5,258.8,42,0,0,0,0,0,0
17,1,0.1828,0.4183,0.5132,1090.3,3733,1354,2379,0.3627,138241,1134,123497,89.3,440.8,206,17115,58,16607,97.0,512.8,60,0,0,0,0,0,0
18,0,0.1456,0.3768,0.231,843.1,3924,631,3293,0.1608,138219,1134,123475,89.3,572.4,206,9757,37,9402,96.4,192.0,37,0,0,0,0,0,0
19,0,0.0612,0.082,0.3139,738.3,4109,386,3723,0.0939,138193,1134,123449,89.3,578.5,206,6517,29,6212,95.3,105.1,30,0,0,0,0,0,0
20,0,0.1016,0.1767,0.4901,879.4,3874,736,3138,0.19,138201,1134,123457,89.3,557.5,206,11639,39,11275,96.9,238.0,39,0,0,0,0,0,0
21,0,0.0949,0.1723,0.3899,833.6,3924,601,3323,0.1532,138223,1134,123479,89.3,572.8,206,9886,38,9438,95.5,183.9,38,0,0,0,0,0,0
22,1,0.0496,0.2521,0.2261,699.1,4192,292,3900,0.0697,138187,1134,123443,89.3,582.2,206,4856,23,4589,94.5,72.2,23,0,0,0,0,0,0
23,0,0.2272,0.4226,0.2696,939.6,3817,916,2901,0.24,138229,1134,123485,89.3,528.7,206,12539,41,11938,95.2,314.8,41,0,0,0,0,0,0
24,0,0.0212,0.2269,0.4474,956.4,3835,826,3009,0.2154,138156,1134,123412,89.3,575.8,206,12352,44,11901,96.3,286.2,44,0,0,0,0,0,0
25,0,0.1731,0.3682,0.2259,924.9,3885,732,3153,0.1884,138175,1134,123431,89.3,593.7,206,10482,37,9996,95.4,240.6,37,0,0,0,0,0,0
26,0,0.0953,0.1331,0.5021,860.6,3953,590,3363,0.1493,138181,1134,123437,89.3,601.7,206,10095,33,9875,97.8,178.4,33,0,0,0,0,0,0
27,0,0.1509,0.2403,0.2222,881.0,3912,642,3270,0.1641,138183,1134,123439,89.3,593.1,206,9766,37,9302,95.2,201.3,37,0,0,0,0,0,0
28,0,0.0853,0.1734,0.4554,925.1,3881,721,3160,0.1858,138173,1134,123429,89.3,595.8,206,11291,41,10769,95.4,239.5,41,0,0,0,0,0,0
29,1,0.1539,0.3768,0.3653,898.5,3881,673,3208,0.1734,138186,1134,123442,89.3,594.5,206,10721,43,10160,94.8,216.9,43,0,0,0,0,0,0
