id;priority;length;width;height;weight;allowed_orientations;client_id;stackable;designation;location
408899009001801;1;87.1;62.3;62.2;36.3;HLW,LHW;408899;True;;
429234009000301;1;122.3;70.8;36.2;19.2;HWL,WHL,HLW,LHW;429234;True;;
408899009003801;1;87.1;62.3;62.2;42.8;HLW,LHW;408899;True;;
408899009001601;2;84.6;62.3;6.0;6.4;all;408899;False;;
408899009002601;1;84.6;42.3;38.2;19.0;HWL,WHL,HLW,LHW;408899;True;;
408899009002901;1;84.6;42.3;38.2;19.0;HWL,WHL,HLW,LHW;408899;True;;
408899009004001;1;84.6;62.3;38.2;24.2;HWL,WHL,HLW,LHW;408899;True;;
408899009000901;2;84.6;62.3;6.0;6.4;all;408899;False;;
408899009001401;1;87.1;62.3;62.2;42.8;HLW,LHW;408899;True;;
429234009000401;2;70.8;62.3;6.7;7.8;all;429234;False;;
408899009000701;1;222.6;62.3;62.2;69.1;HWL,WHL,HLW,LHW;408899;True;;
408899009002801;1;84.6;62.3;38.2;24.5;HWL,WHL,HLW,LHW;408899;True;;
408899009003901;1;84.6;62.3;38.2;24.5;HWL,WHL,HLW,LHW;408899;True;;
429234009000101;2;81.8;52.3;6.0;5.0;all;429234;False;;
408899009001301;2;79.3;62.3;6.0;5.9;all;408899;False;;
408899009002001;1;87.1;62.2;42.3;35.4;WLH,LWH;408899;True;;
408899009002701;1;84.6;62.3;38.2;24.5;HWL,WHL,HLW,LHW;408899;True;;
408899009003701;1;87.1;62.2;42.3;39.9;WLH,LWH;408899;True;;
